"V2" "V3" "V4"
"HMEL022510g1" 54 220 162
"HMEL017580g1" 325 1200 1021
"HMEL016140g1" 0 1 17
"HMEL032383g1" 2 5 20
"HMEL031087g1" 2 8 11
"HMEL016957g1" 723 3227 3022
"HMEL016813g1" 55 167 250
"HMEL010974g1" 33 144 141
"HMEL009003g1" 537 2255 2218
"HMEL003640g1" 0 0 0
"HMEL003784g1" 7 13 10
"HMEL033876g1" 65 262 304
"HMEL033732g1" 3 11 0
"HMEL032436g1" 11 14 24
"HMEL009003g2" 355 1171 986
"HMEL003784g2" 6 28 23
"HMEL037091g1" 247 565 432
"HMEL003837g1" 0 0 3
"HMEL033929g1" 1 0 0
"HMEL014386g1" 1 6 11
"HMEL012126g1" 0 0 0
"HMEL037288g1" 5 55 54
"HMEL037144g1" 44888 146746 115342
"HMEL037000g1" 6 3 12
"HMEL031781g1" 883 3498 2593
"HMEL030485g1" 42 235 184
"HMEL030341g1" 0 1 0
"HMEL012126g2" 0 0 0
"HMEL012126g3" 0 0 0
"HMEL009841g1" 69 250 197
"HMEL007249g1" 10 11 12
"HMEL007105g1" 111 394 307
"HMEL031978g1" 247 675 461
"HMEL031834g1" 69 181 178
"HMEL030538g1" 2 2 4
"HMEL007105g2" 7 22 6
"HMEL035193g1" 0 0 0
"HMEL016673" 0 0 0
"HMEL016674" 0 0 0
"HMEL012488g1" 5 7 0
"HMEL012344g1" 251 812 813
"HMEL011668g1" 0 1 5
"HMEL007270g1" 0 0 0
"HMEL005154g1" 93 187 207
"HMEL005010g1" 136 450 306
"HMEL037982g1" 0 0 0
"HMEL036686g1" 0 2 1
"HMEL036542g1" 144 690 824
"HMEL035246g1" 2 11 34
"HMEL035102g1" 0 0 0
"HMEL022073g1" 6 46 95
"HMEL016675" 0 1 0
"HMEL011668g2" 0 4 1
"HMEL022073g2" 1 0 0
"HMEL007943g1" 106 501 449
"HMEL006503g1" 161 586 572
"HMEL006647g1" 596 2643 2407
"HMEL036739g1" 221 1384 1449
"HMEL017052g1" 16 82 18
"HMEL010393g1" 6 20 39
"HMEL034591g1" 780 2624 2330
"HMEL033295g1" 1 1 2
"HMEL033151g1" 0 0 0
"HMEL017869g1" 1 1 0
"HMEL016429g1" 157 520 437
"HMEL011886g1" 10 66 86
"HMEL007941" 4 2 4
"HMEL004696g1" 0 2 1
"HMEL035940g1" 3 17 0
"HMEL034788g1" 756 2791 2680
"HMEL034644g1" 0 0 0
"HMEL034500g1" 0 1 1
"HMEL033348g1" 0 0 0
"HMEL033204g1" 0 0 2
"HMEL005901g1" 901 4042 3475
"HMEL016594g1" 94 370 348
"HMEL015154g1" 199 1123 1070
"HMEL015010g1" 56 329 318
"HMEL038056g1" 183 690 666
"HMEL032693g1" 0 1 0
"HMEL031397g1" 48 186 130
"HMEL031253g1" 0 0 0
"HMEL015010g2" 287 1691 1436
"HMEL009457g1" 26 92 106
"HMEL009313g1" 51 182 219
"HMEL002798g1" 1 0 0
"HMEL038109g1" 0 0 0
"HMEL032746g1" 56 169 177
"HMEL032602g1" 0 1 0
"HMEL031306g1" 92 371 499
"HMEL009313g2" 77 230 254
"HMEL014696g1" 162 498 400
"HMEL012436g1" 279 969 803
"HMEL008182g1" 235 1190 1420
"HMEL037598g1" 324 773 469
"HMEL037454g1" 1 18 16
"HMEL037310g1" 0 2 0
"HMEL036158g1" 0 0 0
"HMEL036014g1" 0 2 0
"HMEL030795g1" 0 0 0
"HMEL030651g1" 0 0 0
"HMEL013929g1" 943 5826 5279
"HMEL008855g1" 1 15 23
"HMEL007415g1" 38 114 68
"HMEL006119g1" 2 35 14
"HMEL037507g1" 42 128 102
"HMEL030848g1" 0 0 0
"HMEL030704g1" 0 8 5
"HMEL022218g1" 498 1772 1785
"HMEL011161g1" 225 777 434
"HMEL008855g2" 0 0 3
"HMEL007415g2" 50 182 139
"HMEL006119g2" 32 324 342
"HMEL034063g1" 9 21 18
"HMEL008855g3" 2 5 6
"HMEL006119g3" 169 768 771
"HMEL008908g1" 2 89 110
"HMEL012798g1" 8 8 7
"HMEL012654g1" 134 522 482
"HMEL012510g1" 0 0 0
"HMEL011834g1" 19 147 133
"HMEL010538g1" 210 756 538
"HMEL008908g2" 0 11 8
"HMEL004024g1" 1 0 0
"HMEL004168g1" 0 0 0
"HMEL036996g1" 2 0 2
"HMEL036852g1" 0 0 0
"HMEL035556g1" 7 29 55
"HMEL035412g1" 8 66 8
"HMEL034116g1" 4 0 4
"HMEL022383g1" 40 274 279
"HMEL008908g3" 5 14 5
"HMEL008908g4" 0 2 1
"HMEL006957g1" 175 845 664
"HMEL005517g1" 31 126 135
"HMEL036905g1" 0 0 0
"HMEL006957g2" 41 115 116
"HMEL033461g1" 0 0 0
"HMEL032165g1" 1 9 19
"HMEL032021g1" 1 12 0
"HmGr3_1" 3 11 16
"HMEL016739g1" 164 572 577
"HMEL002126g1" 178 711 469
"HMEL004862g1" 0 0 0
"HMEL003422g1" 243 803 1392
"HMEL034954g1" 1 5 20
"HMEL034810g1" 0 0 1
"HMEL033658g1" 389 1456 1344
"HMEL033514g1" 23 77 247
"HMEL032218g1" 0 0 1
"HMEL004862g2" 0 0 0
"HMEL003422g2" 55 296 589
"HMEL030070g1" 1 11 1
"HMEL004862g3" 0 0 0
"HMEL004915g1" 1 0 0
"HMEL016760g1" 0 10 7
